iter	MultiClass
0	1.277078755
1	1.190550486
2	1.121430247
3	1.060886135
4	1.011843508
5	0.971261415
6	0.9351935912
7	0.9024018435
8	0.8743988514
9	0.8472972039
10	0.8244283432
11	0.8036819948
12	0.7858185005
13	0.7701449612
14	0.7559242627
15	0.7420221563
16	0.7298895756
17	0.7177424256
18	0.7065293177
19	0.6972195907
20	0.6891249495
21	0.681052547
22	0.6748525312
23	0.667790766
24	0.6615057393
25	0.6552602737
26	0.6506860998
27	0.646068783
28	0.6404990111
29	0.6358322591
30	0.6319742001
31	0.6271302875
32	0.6235774151
33	0.6196650464
34	0.6172322112
35	0.6143359443
36	0.6104192781
37	0.6069108629
38	0.6046811973
39	0.602849796
40	0.6004522922
41	0.598523364
42	0.5962850506
43	0.5942664183
44	0.5920319387
45	0.5891977932
46	0.5873903889
47	0.5860711258
48	0.5852700624
49	0.5834378638
50	0.5817299141
51	0.5797915301
52	0.5787505866
53	0.5778476398
54	0.5763156283
55	0.5750387258
56	0.5737539208
57	0.5729159537
58	0.5706442641
59	0.5695831619
60	0.5682892056
61	0.5668673048
62	0.5661235459
63	0.5644328508
64	0.5634610368
65	0.5620283682
66	0.560178988
67	0.5591707065
68	0.5582994762
69	0.5577279253
70	0.5572817822
71	0.5565499945
72	0.5552156311
73	0.5533890328
74	0.5523047026
75	0.5513932261
76	0.5503007069
77	0.548844178
78	0.5476668138
79	0.5468415262
80	0.5460466865
81	0.5454919086
82	0.5447239193
83	0.5437647668
84	0.5427633136
85	0.5413924776
86	0.540971359
87	0.5402677375
88	0.5388492344
89	0.5374331788
90	0.5361845323
91	0.5350092096
92	0.5334264524
93	0.5323864238
94	0.5312816811
95	0.5302886682
96	0.5294192518
97	0.5286053647
98	0.5273446515
99	0.5265587026
100	0.5255561672
101	0.5250957154
102	0.5236430286
103	0.5232970532
104	0.5223821671
105	0.5213693779
106	0.520199968
107	0.5195400287
108	0.5176251215
109	0.5168320073
110	0.5156984209
111	0.5144508637
112	0.5131744594
113	0.5124404658
114	0.5112268587
115	0.5103233498
116	0.5090017576
117	0.508447745
118	0.5070018666
119	0.5061949085
120	0.5054967247
121	0.5048152529
122	0.5031757492
123	0.5021821447
124	0.5012735803
125	0.5006073438
126	0.4991717673
127	0.4987292261
128	0.4972622426
129	0.4963808405
130	0.4959304978
131	0.4949439835
132	0.4934670641
133	0.4927692382
134	0.4919834093
135	0.4909503242
136	0.4901368788
137	0.4888668458
138	0.4882108654
139	0.4871221718
140	0.4863302991
141	0.4850972037
142	0.4839363933
143	0.483368121
144	0.4824799947
145	0.4813256301
146	0.4800638843
147	0.4782011659
148	0.4774963921
149	0.4769106684
150	0.4757018113
151	0.4750106843
152	0.4745324869
153	0.4737464016
154	0.472510075
155	0.4717269212
156	0.4705125073
157	0.4698238389
158	0.4687796312
159	0.4676049279
160	0.4672296313
161	0.4665176838
162	0.4660583532
163	0.4656832582
164	0.4648791279
165	0.4636591281
166	0.4627343397
167	0.4617834414
168	0.4608321137
169	0.459596976
170	0.4586846022
171	0.4571044259
172	0.4564674157
173	0.4558176108
174	0.4549555348
175	0.4535868009
176	0.4528023453
177	0.4518401328
178	0.451519708
179	0.4501929021
180	0.4492260631
181	0.4482895424
182	0.4472180086
183	0.4467125255
184	0.4458549632
185	0.4452686946
186	0.4440840036
