iter	Passed	Remaining
0	17	17728
1	39	19635
2	50	16818
3	64	16017
4	74	14832
5	94	15659
6	119	16986
7	132	16430
8	262	28913
9	272	26958
10	291	26250
11	309	25461
12	335	25475
13	347	24474
14	358	23512
15	379	23329
16	390	22563
17	399	21781
18	406	20984
19	416	20388
20	424	19767
21	430	19142
22	437	18587
23	447	18180
24	453	17699
25	460	17261
26	466	16828
27	474	16456
28	480	16083
29	487	15753
30	495	15482
31	501	15177
32	508	14907
33	515	14635
34	522	14395
35	529	14178
36	537	13986
37	545	13797
38	552	13619
39	559	13428
40	566	13247
41	575	13134
42	582	12957
43	590	12826
44	596	12665
45	603	12508
46	611	12398
47	618	12267
48	627	12175
49	633	12031
50	639	11897
51	645	11765
52	652	11656
53	658	11544
54	665	11434
55	672	11343
56	679	11247
57	686	11144
58	692	11048
59	698	10943
60	704	10849
61	711	10770
62	718	10689
63	725	10603
64	731	10516
65	738	10445
66	745	10374
67	751	10301
68	758	10239
69	764	10160
70	771	10093
71	777	10026
72	784	9961
73	791	9906
74	798	9846
75	804	9784
76	812	9734
77	819	9681
78	825	9625
79	832	9574
80	840	9530
81	846	9479
82	853	9430
83	859	9374
84	866	9329
85	873	9280
86	880	9235
87	887	9198
88	894	9157
89	900	9108
90	907	9067
91	915	9036
92	922	8995
93	929	8956
94	936	8918
95	942	8876
96	948	8834
97	958	8825
98	966	8793
99	972	8752
100	979	8719
101	985	8679
102	992	8645
103	999	8608
104	1005	8567
105	1013	8545
106	1019	8505
107	1026	8481
108	1034	8453
109	1041	8429
110	1048	8396
111	1055	8364
112	1061	8332
113	1068	8303
114	1075	8273
115	1081	8240
116	1087	8208
117	1095	8184
118	1102	8159
119	1108	8127
120	1114	8097
121	1121	8068
122	1128	8047
123	1134	8016
124	1143	8006
125	1150	7979
126	1157	7954
127	1163	7929
128	1171	7911
129	1178	7888
130	1186	7869
131	1194	7854
132	1202	7835
133	1210	7820
134	1217	7801
135	1224	7779
136	1231	7754
137	1237	7728
138	1245	7715
139	1251	7686
140	1257	7662
141	1264	7637
142	1271	7617
143	1277	7593
144	1283	7566
145	1291	7551
146	1297	7526
147	1305	7514
148	1311	7489
149	1318	7468
150	1325	7450
151	1331	7427
152	1338	7410
153	1344	7388
154	1351	7368
155	1358	7347
156	1365	7333
157	1372	7313
158	1379	7294
159	1385	7274
160	1392	7254
161	1398	7233
162	1404	7212
163	1411	7195
164	1418	7177
165	1425	7162
166	1432	7143
167	1440	7132
168	1448	7120
169	1454	7101
170	1461	7083
171	1468	7069
172	1475	7055
173	1483	7040
174	1489	7021
175	1495	7003
176	1502	6986
177	1508	6968
178	1515	6948
179	1521	6933
180	1529	6922
181	1537	6911
182	1546	6903
183	1553	6887
184	1562	6885
185	1570	6871
186	1576	6856
187	1584	6843
188	1591	6828
189	1598	6813
190	1605	6799
191	1611	6782
192	1618	6765
193	1625	6751
194	1631	6734
195	1637	6717
196	1644	6702
197	1654	6700
198	1661	6687
199	1668	6673
200	1675	6659
201	1682	6646
202	1690	6635
203	1696	6617
204	1702	6604
205	1709	6587
206	1715	6572
207	1723	6560
208	1730	6548
209	1737	6535
210	1743	6521
211	1750	6506
212	1756	6491
213	1763	6478
214	1770	6463
215	1776	6448
216	1783	6435
217	1791	6425
218	1797	6409
219	1804	6398
220	1811	6385
221	1818	6373
222	1825	6362
223	1832	6346
224	1839	6336
225	1846	6324
226	1854	6315
227	1861	6302
228	1867	6288
229	1873	6272
230	1880	6259
231	1888	6251
232	1894	6237
233	1901	6224
234	1908	6212
235	1914	6197
236	1920	6183
237	1926	6168
238	1933	6156
239	1942	6152
240	1951	6144
241	1957	6131
242	1963	6116
243	1969	6102
244	1974	6086
245	1980	6070
246	1985	6053
247	1991	6039
248	1997	6024
249	2002	6006
250	2007	5991
251	2013	5977
252	2019	5963
253	2025	5950
254	2031	5935
255	2037	5920
256	2043	5906
257	2051	5901
258	2058	5887
259	2064	5875
260	2072	5869
261	2080	5861
262	2086	5847
263	2093	5835
264	2099	5822
265	2104	5806
266	2110	5793
267	2115	5778
268	2121	5765
269	2126	5750
270	2132	5736
271	2138	5723
272	2144	5710
273	2149	5694
274	2154	5680
275	2159	5666
276	2164	5649
277	2172	5642
278	2177	5627
279	2182	5613
280	2189	5601
281	2196	5592
282	2204	5585
283	2211	5574
284	2218	5564
285	2226	5557
286	2233	5548
287	2239	5536
288	2246	5527
289	2252	5514
290	2258	5502
291	2263	5489
292	2269	5476
293	2275	5463
294	2280	5449
295	2286	5437
296	2294	5431
297	2305	5431
298	2314	5426
299	2320	5414
300	2325	5401
301	2330	5387
302	2336	5373
303	2341	5360
304	2346	5346
305	2352	5336
306	2358	5322
307	2362	5308
308	2367	5294
309	2372	5280
310	2377	5268
311	2383	5255
312	2388	5242
313	2393	5229
314	2398	5216
315	2403	5202
316	2408	5189
317	2414	5177
318	2419	5164
319	2423	5150
