iter	Passed	Remaining
0	5	5042
1	9	4502
2	13	4343
3	17	4248
4	20	4119
5	24	4034
6	28	3979
7	31	3933
8	35	3956
9	40	3970
10	44	3979
11	48	3957
12	51	3922
13	55	3902
14	59	3882
15	62	3868
16	66	3852
17	70	3839
18	74	3850
19	78	3834
20	81	3821
21	85	3814
22	89	3814
23	94	3838
24	98	3842
25	104	3899
26	111	4014
27	115	4021
28	121	4080
29	126	4082
30	131	4120
31	136	4115
32	141	4156
33	145	4140
34	152	4194
35	156	4180
36	159	4157
37	163	4142
38	167	4126
39	171	4104
40	175	4111
41	179	4104
42	186	4158
43	194	4218
44	204	4334
45	211	4385
46	232	4724
47	241	4798
48	250	4854
49	259	4921
50	277	5172
51	282	5156
52	286	5126
53	290	5090
54	294	5056
55	298	5033
56	302	4999
57	306	4978
58	310	4946
59	313	4914
60	317	4885
61	321	4857
62	325	4840
63	329	4814
64	332	4786
65	337	4775
66	341	4750
67	345	4740
68	349	4715
69	353	4696
70	357	4671
71	360	4647
72	364	4634
73	368	4611
74	372	4589
75	376	4574
76	379	4553
77	383	4535
78	387	4519
79	391	4500
80	395	4486
81	399	4467
82	402	4449
83	406	4431
84	410	4414
85	413	4399
86	417	4383
87	421	4366
88	439	4500
89	444	4496
90	458	4577
91	461	4552
92	464	4525
93	466	4500
94	469	4475
95	473	4458
96	476	4432
97	478	4406
98	481	4381
99	484	4364
100	487	4341
101	490	4317
102	493	4294
103	496	4278
104	499	4258
105	502	4238
106	505	4217
107	508	4198
108	511	4178
109	513	4154
110	515	4128
111	517	4104
112	519	4079
113	521	4055
114	523	4032
115	525	4008
116	530	4000
117	533	3985
118	537	3981
119	540	3960
120	542	3939
121	544	3917
122	546	3893
123	547	3869
124	549	3846
125	551	3824
126	552	3801
127	554	3779
128	556	3758
129	558	3736
130	560	3715
131	561	3693
132	563	3673
133	565	3654
134	567	3633
135	568	3614
136	570	3594
137	572	3575
138	574	3555
139	575	3537
140	577	3518
141	579	3500
142	581	3482
143	582	3464
144	584	3447
145	586	3429
146	588	3412
147	589	3395
148	591	3377
149	593	3361
150	594	3344
151	596	3328
152	598	3312
153	600	3296
154	601	3280
155	603	3264
156	605	3249
157	606	3234
158	608	3219
159	610	3204
160	612	3189
161	613	3175
162	615	3160
163	617	3146
164	618	3131
165	620	3117
166	622	3104
167	623	3090
168	625	3076
169	627	3062
170	629	3049
171	630	3035
172	632	3023
173	634	3010
174	635	2997
175	637	2985
176	639	2973
177	641	2960
178	642	2948
179	644	2936
180	646	2924
181	648	2912
182	649	2900
183	651	2888
184	654	2885
185	658	2882
186	660	2871
187	662	2860
188	664	2849
189	665	2838
190	667	2827
191	669	2816
192	670	2805
193	672	2794
194	674	2783
195	675	2772
196	677	2762
197	679	2752
198	681	2742
199	683	2732
200	684	2722
201	686	2712
202	688	2702
203	690	2692
204	691	2682
205	693	2673
206	695	2664
207	697	2654
208	698	2644
209	700	2635
210	702	2625
211	703	2616
212	705	2607
213	707	2597
214	709	2588
215	710	2579
216	712	2571
217	714	2562
218	715	2553
219	717	2544
220	719	2536
221	721	2530
222	723	2521
223	725	2513
224	727	2505
225	729	2497
226	730	2489
227	732	2480
228	734	2472
229	736	2464
230	737	2455
231	740	2450
232	742	2445
233	744	2438
234	747	2433
235	749	2426
236	751	2419
237	753	2411
238	755	2404
239	756	2396
240	758	2390
241	761	2385
242	764	2380
243	765	2372
244	767	2365
245	769	2358
246	771	2350
247	772	2343
248	775	2338
249	777	2331
250	778	2323
251	780	2316
252	782	2309
253	784	2302
254	785	2295
255	787	2289
256	789	2282
257	791	2275
258	792	2268
259	794	2261
260	796	2254
261	798	2248
262	799	2241
263	801	2235
264	803	2228
265	805	2221
266	807	2215
267	808	2208
268	810	2202
269	812	2196
270	814	2190
271	816	2184
272	817	2177
273	819	2170
274	820	2164
275	822	2158
276	824	2152
277	826	2145
278	827	2139
279	829	2133
280	831	2127
281	833	2121
282	834	2115
283	836	2109
284	838	2103
285	840	2097
286	841	2091
287	843	2085
288	845	2079
289	846	2073
290	848	2067
291	850	2061
292	852	2055
293	853	2049
294	855	2044
295	857	2038
296	858	2032
297	860	2027
298	862	2022
299	864	2016
300	865	2011
301	867	2005
302	869	1999
303	871	1994
304	872	1988
305	874	1983
306	876	1977
307	877	1972
308	879	1967
309	881	1961
310	883	1956
311	884	1951
312	886	1946
313	888	1940
314	890	1935
315	891	1930
316	893	1924
317	895	1919
318	896	1914
319	897	1908
320	899	1902
321	901	1897
322	903	1892
323	904	1887
324	906	1882
325	908	1877
326	910	1872
327	911	1868
328	913	1863
329	915	1858
330	917	1853
331	918	1848
332	920	1843
333	922	1839
334	924	1834
335	926	1829
336	927	1825
337	929	1820
338	931	1815
339	932	1810
340	934	1806
341	936	1801
342	938	1797
343	939	1792
344	941	1787
345	943	1783
346	945	1778
347	946	1774
348	948	1769
349	950	1765
350	952	1760
351	953	1756
352	955	1751
353	957	1747
354	959	1742
355	960	1738
356	962	1733
357	964	1729
358	965	1724
359	967	1720
360	969	1715
361	971	1711
362	973	1708
363	975	1704
364	977	1700
365	979	1696
366	980	1691
367	982	1687
368	984	1683
369	986	1679
370	987	1674
371	989	1670
372	991	1666
373	993	1662
374	994	1657
375	996	1653
376	998	1649
377	999	1645
378	1001	1641
379	1003	1637
380	1005	1633
381	1006	1629
382	1008	1624
383	1010	1620
384	1012	1616
385	1013	1612
386	1015	1608
387	1017	1604
388	1019	1601
389	1021	1597
390	1022	1593
391	1024	1588
392	1026	1584
393	1027	1580
394	1029	1576
395	1031	1573
396	1033	1569
397	1034	1565
398	1036	1561
399	1038	1557
400	1039	1553
401	1041	1549
402	1043	1545
403	1045	1541
404	1046	1537
405	1048	1533
406	1049	1529
407	1051	1525
408	1052	1521
409	1054	1517
410	1056	1513
411	1058	1510
412	1059	1506
413	1061	1502
414	1063	1499
415	1065	1495
416	1066	1491
417	1068	1487
418	1070	1484
419	1071	1480
420	1073	1476
421	1075	1473
422	1077	1469
423	1078	1465
424	1080	1462
425	1082	1458
426	1084	1454
427	1085	1450
428	1087	1447
429	1089	1443
430	1090	1440
431	1092	1436
432	1094	1432
433	1096	1429
434	1097	1425
435	1099	1422
436	1101	1419
437	1103	1415
438	1105	1412
439	1106	1408
440	1108	1405
441	1110	1401
442	1112	1398
443	1113	1394
444	1115	1391
445	1117	1387
446	1118	1384
447	1120	1380
448	1122	1377
449	1124	1374
450	1125	1370
451	1127	1367
452	1129	1363
453	1131	1360
454	1132	1356
455	1134	1353
456	1136	1350
457	1137	1346
458	1139	1343
459	1141	1339
460	1143	1336
461	1144	1333
462	1146	1329
463	1148	1326
464	1150	1323
465	1151	1320
466	1154	1317
467	1155	1314
468	1157	1310
